0.000000000000000000e+00 1.320584086650076483e-01
1.000000000000000000e+00 5.754549589888792838e+00
2.000000000000000000e+00 1.175395612711608173e+01
3.000000000000000000e+00 1.788011529754559703e+01
4.000000000000000000e+00 2.370033713646906293e+01
5.000000000000000000e+00 3.077600349647512701e+01
6.000000000000000000e+00 3.770120823798593790e+01
7.000000000000000000e+00 4.561721009219004230e+01
8.000000000000000000e+00 5.480695886369887404e+01
9.000000000000000000e+00 6.627703604776421287e+01
9.500000000000000000e+00 7.545929757407149907e+01
9.810000000000000497e+00 8.830751802693919217e+01
