0.000000000000000000e+00 6.911101820710448262e-02
1.000000000000000000e+00 5.733418223020033011e+00
2.000000000000000000e+00 1.185611046458752682e+01
3.000000000000000000e+00 1.771866140223229635e+01
4.000000000000000000e+00 2.425983712303724715e+01
5.000000000000000000e+00 3.065784464448593738e+01
6.000000000000000000e+00 3.767875274895799009e+01
7.000000000000000000e+00 4.525794423864673632e+01
8.000000000000000000e+00 5.447638276892229214e+01
9.000000000000000000e+00 6.657731271181592092e+01
9.500000000000000000e+00 7.562734693379775308e+01
9.810000000000000497e+00 8.824779609109540957e+01
