0.000000000000000000e+00 -4.684845796828857739e-02
1.000000000000000000e+00 5.864827312218189093e+00
2.000000000000000000e+00 1.161401089075473259e+01
3.000000000000000000e+00 1.770176974342038179e+01
4.000000000000000000e+00 2.409594434175447830e+01
5.000000000000000000e+00 3.064690063859763924e+01
6.000000000000000000e+00 3.791268560040800395e+01
7.000000000000000000e+00 4.546288998191523234e+01
8.000000000000000000e+00 5.463699489020603295e+01
9.000000000000000000e+00 6.659068963262487273e+01
9.500000000000000000e+00 7.557171365460629886e+01
9.810000000000000497e+00 8.835753297388895078e+01
